B01C00,B01C01,B00C01,B00C00
B01C01,B01C02,B00C02,B00C01
B01C02,B01C03,B00C03,B00C02
B01C03,B01C04,B00C04,B00C03
B01C04,B01C05,B00C05,B00C04
B01C05,B01C06,B00C06,B00C05
B01C06,B01C07,B00C07,B00C06
B01C07,B01C08,B00C08,B00C07
B01C08,B01C09,B00C09,B00C08
B01C09,B01C10,B00C10,B00C09
B01C10,B01C11,B00C11,B00C10
B01C11,B01C12,B00C12,B00C11
B01C12,B01C13,B00C13,B00C12
B02C00,B02C01,B01C01,B01C00
B02C01,B02C02,B01C02,B01C01
B02C02,B02C03,B01C03,B01C02
B02C03,B02C04,B01C04,B01C03
B02C04,B02C05,B01C05,B01C04
B02C05,B02C06,B01C06,B01C05
B02C06,B02C07,B01C07,B01C06
B02C07,B02C08,B01C08,B01C07
B02C08,B02C09,B01C09,B01C08
B02C09,B02C10,B01C10,B01C09
B02C10,B02C11,B01C11,B01C10
B02C11,B02C12,B01C12,B01C11
B02C12,B02C13,B01C13,B01C12
B03C00,B03C01,B02C01,B02C00
B03C01,B03C02,B02C02,B02C01
B03C02,B03C03,B02C03,B02C02
B03C03,B03C04,B02C04,B02C03
B03C04,B03C05,B02C05,B02C04
B03C05,B03C06,B02C06,B02C05
B03C06,B03C07,B02C07,B02C06
B03C07,B03C08,B02C08,B02C07
B03C08,B03C09,B02C09,B02C08
B03C09,B03C10,B02C10,B02C09
B03C10,B03C11,B02C11,B02C10
B03C11,B03C12,B02C12,B02C11
B03C12,B03C13,B02C13,B02C12
B04C00,B04C01,B03C01,B03C00
B04C01,B04C02,B03C02,B03C01
B04C02,B04C03,B03C03,B03C02
B04C03,B04C04,B03C04,B03C03
B04C04,B04C05,B03C05,B03C04
B04C05,B04C06,B03C06,B03C05
B04C06,B04C07,B03C07,B03C06
B04C07,B04C08,B03C08,B03C07
B04C08,B04C09,B03C09,B03C08
B04C09,B04C10,B03C10,B03C09
B04C10,B04C11,B03C11,B03C10
B04C11,B04C12,B03C12,B03C11
B04C12,B04C13,B03C13,B03C12
B05C00,B05C01,B04C01,B04C00
B05C01,B05C02,B04C02,B04C01
B05C02,B05C03,B04C03,B04C02
B05C03,B05C04,B04C04,B04C03
B05C04,B05C05,B04C05,B04C04
B05C05,B05C06,B04C06,B04C05
B05C06,B05C07,B04C07,B04C06
B05C07,B05C08,B04C08,B04C07
B05C08,B05C09,B04C09,B04C08
B05C09,B05C10,B04C10,B04C09
B05C10,B05C11,B04C11,B04C10
B05C11,B05C12,B04C12,B04C11
B05C12,B05C13,B04C13,B04C12
B06C00,B06C01,B05C01,B05C00
B06C01,B06C02,B05C02,B05C01
B06C02,B06C03,B05C03,B05C02
B06C03,B06C04,B05C04,B05C03
B06C04,B06C05,B05C05,B05C04
B06C05,B06C06,B05C06,B05C05
B06C06,B06C07,B05C07,B05C06
B06C07,B06C08,B05C08,B05C07
B06C08,B06C09,B05C09,B05C08
B06C09,B06C10,B05C10,B05C09
B06C10,B06C11,B05C11,B05C10
B06C11,B06C12,B05C12,B05C11
B06C12,B06C13,B05C13,B05C12
B07C00,B07C01,B06C01,B06C00
B07C01,B07C02,B06C02,B06C01
B07C02,B07C03,B06C03,B06C02
B07C03,B07C04,B06C04,B06C03
B07C04,B07C05,B06C05,B06C04
B07C05,B07C06,B06C06,B06C05
B07C06,B07C07,B06C07,B06C06
B07C07,B07C08,B06C08,B06C07
B07C08,B07C09,B06C09,B06C08
B07C09,B07C10,B06C10,B06C09
B07C10,B07C11,B06C11,B06C10
B07C11,B07C12,B06C12,B06C11
B07C12,B07C13,B06C13,B06C12
B08C00,B08C01,B07C01,B07C00
B08C01,B08C02,B07C02,B07C01
B08C02,B08C03,B07C03,B07C02
B08C03,B08C04,B07C04,B07C03
B08C04,B08C05,B07C05,B07C04
B08C05,B08C06,B07C06,B07C05
B08C06,B08C07,B07C07,B07C06
B08C07,B08C08,B07C08,B07C07
B08C08,B08C09,B07C09,B07C08
B08C09,B08C10,B07C10,B07C09
B08C10,B08C11,B07C11,B07C10
B08C11,B08C12,B07C12,B07C11
B08C12,B08C13,B07C13,B07C12
