ID,PIX_X,PIX_Y,E_ED50,N_ED50,LAT_ED50,LON_ED50,HUSO,FILA,COLUMNA,REF
B00C00,328.869410,159.189756,654494.025,4429929.279,40.004750069028,-7.190091665310,29,0,0,BORDE_INTERPOLADO
B00C01,356.365494,159.277244,660000.000,4430105.692,40.005313505384,-7.125577336467,29,0,1,BORDE_INTERPOLADO
B00C02,456.242751,159.595038,680000.000,4430746.496,40.007057600702,-6.891238350292,29,0,2,BORDE_INTERPOLADO
B00C03,556.120007,159.912832,700000.000,4431387.300,40.008327231600,-6.656909825241,29,0,3,BORDE_INTERPOLADO
B00C04,655.997264,160.230627,720000.000,4432028.104,40.009122422590,-6.422597312237,29,0,4,BORDE_INTERPOLADO
B00C05,755.874521,160.548421,740000.000,4432668.908,40.009443231196,-6.188306361071,29,0,5,BORDE_INTERPOLADO
B00C06,836.173815,160.803921,756074.677,4433230.067,40.009772247849,-6.000000000000,29,0,6,FRONTERA_HUSOS_BORDE_INTERPOLADO
B00C07,916.431356,161.059288,260000.000,4432741.605,40.010097409899,-5.811720500910,30,0,7,BORDE_INTERPOLADO
B00C08,1016.275953,161.376978,280000.000,4432076.477,40.009557803148,-5.577419073331,30,0,8,BORDE_INTERPOLADO
B00C09,1116.120550,161.694669,300000.000,4431411.349,40.008543725920,-5.343097580692,30,0,9,BORDE_INTERPOLADO
B00C10,1215.965147,162.012359,320000.000,4430746.222,40.007055131634,-5.108761573704,30,0,10,BORDE_INTERPOLADO
B00C11,1315.809744,162.330049,340000.000,4430081.094,40.005092006732,-4.874416603936,30,0,11,BORDE_INTERPOLADO
B00C12,1415.654341,162.647739,360000.000,4429415.966,40.002654370682,-4.640068222982,30,0,12,BORDE_INTERPOLADO
B00C13,1469.929738,162.820435,370871.975,4429054.403,40.001130211386,-4.512677282729,30,0,13,BORDE_INTERPOLADO
B01C00,328.255662,208.902258,654721.878,4420000.000,39.915294240800,-7.189783636752,29,1,0,BORDE_INTERPOLADO
B01C01,354.584068,209.832129,660000.000,4420000.000,39.914313936727,-7.128061176794,29,1,1,RETICULA_UTM_RASTER
