TRACE_BADAJOZ_PENR2009_V001
RASTER=/nuevos/FUGAWI/MAPAS/BADAJOZ 2_4.jpeg
RASTER_W=1536
RASTER_H=1170
PIXEL_DOMAIN=PIXEL_RASTER_ORIGINAL
CRS_ORIGEN=ED50_UTM_HUSO_29_30
CRS_DESTINO=ETRS89_UTM_HUSO_29_30
PENR2009_PATH=Repositorio:p92md87/Fugawi/PENR2009.gsb
PENR2009_BLOB_SHA=4bdfa4ddef1adc4a32f7daf0956fe65b91d4aafa
NODOS=126
CUADRILATEROS=104
CIERRE_INV_MAX_M=0.000000000
ID,E_ED50,N_ED50,HUSO,LAT_ED50,LON_ED50,LAT_ETRS89,LON_ETRS89,E_ETRS89,N_ETRS89,DLAT_ARCSEC,DLON_ARCSEC,CIERRE_INV_M
B00C00,654494.025,4429929.279,29,40.004750069028,-7.190091665310,40.003531785839,-7.191468910837,654372.221,4429715.678,-4.385819481,4.958083896,0.000000000
B00C01,660000.000,4430105.692,29,40.005313505384,-7.125577336467,40.004095766374,-7.126952912591,659878.187,4429892.061,-4.383860437,4.952074047,0.000000000
B00C02,680000.000,4430746.496,29,40.007057600702,-6.891238350292,40.005842765032,-6.892610475678,679877.925,4430532.856,-4.373408413,4.939651390,0.000000000
B00C03,700000.000,4431387.300,29,40.008327231600,-6.656909825241,40.007114729888,-6.658280106555,699877.525,4431173.584,-4.365006164,4.933012729,0.000000000
B00C04,720000.000,4432028.104,29,40.009122422590,-6.422597312237,40.007911709764,-6.423965133967,719877.178,4431814.253,-4.358566174,4.924158227,0.000000000
B00C05,740000.000,4432668.908,29,40.009443231196,-6.188306361071,40.008235596637,-6.189670309281,739876.944,4432455.069,-4.347484412,4.910213555,0.000000000
B00C06,756074.677,4433230.067,29,40.009772247849,-6.000000000000,40.008566808914,-6.001360067284,755951.498,4433016.207,-4.339580167,4.896242222,0.000000000
B00C07,260000.000,4432741.605,30,40.010097409899,-5.811720500910,40.008892492641,-5.813077265346,259890.806,4432535.399,-4.337702131,4.884351969,0.000000000
B00C08,280000.000,4432076.477,30,40.009557803148,-5.577419073331,40.008354077058,-5.578770671330,279890.702,4431870.119,-4.333413926,4.865752796,0.000000000
B00C09,300000.000,4431411.349,30,40.008543725920,-5.343097580692,40.007341368948,-5.344443699092,299890.624,4431204.859,-4.328485100,4.846026240,0.000000000
B00C10,320000.000,4430746.222,30,40.007055131634,-5.108761573704,40.005853632329,-5.110105163958,319890.289,4430539.550,-4.325397499,4.836924913,0.000000000
B00C11,340000.000,4430081.094,30,40.005092006732,-4.874416603936,40.003891222858,-4.875756038471,339890.092,4429874.222,-4.322821948,4.821964326,0.000000000
B00C12,360000.000,4429415.966,30,40.002654370682,-4.640068222982,40.001454607237,-4.641402545630,359889.976,4429208.926,-4.319148401,4.803561534,0.000000000
B00C13,370871.975,4429054.403,30,40.001130211386,-4.512677282729,39.999931098823,-4.514007334465,370762.014,4428847.282,-4.316805228,4.788186249,0.000000000
B01C00,654721.878,4420000.000,29,39.915294240800,-7.189783636752,39.914074203156,-7.191160535589,654599.943,4419786.490,-4.392135518,4.956835812,0.000000000
